EPC,AntnenaId,ChannelIndex,Doppler,PeekRssi,PreciseRssi,Phase,FirstReadTime,LastReadTime,ReadCount,Timestamp
E2008181810E007519804894,1,1,221,-50,-5000,2812,1457050112492962,1457050112492962,1,1457058006301
E2008181810E007519804894,1,1,-26,-50,-5000,2896,1457050112495994,1457050112495994,1,1457058006306
E2008181810E007519804894,1,1,78,-50,-5000,2800,1457050112507296,1457050112507296,1,1457058006307
E2008181810E007519804894,1,1,52,-49,-4950,2844,1457050112510289,1457050112510289,1,1457058006309
E2008181810E007519804894,1,1,26,-50,-5050,2800,1457050112520303,1457050112520303,1,1457058006315
E2008181810E007519804894,1,1,117,-49,-4950,2792,1457050112523534,1457050112523534,1,1457058006317
E2008181810E007519804894,1,1,26,-50,-5000,2800,1457050112533528,1457050112533528,1,1457058006318
E2008181810E007519804894,1,1,26,-50,-5000,2824,1457050112536496,1457050112536496,1,1457058006319
E2008181810E007519804894,1,1,169,-50,-5000,2792,1457050112547118,1457050112547118,1,1457058006325
E2008181810E007519804894,1,1,-299,-50,-5000,2868,1457050112550157,1457050112550157,1,1457058006326
E2008181810E007519804894,1,1,273,-50,-5000,2804,1457050112560411,1457050112560411,1,1457058006328
E2008181810E007519804894,1,1,442,-50,-5000,2776,1457050112563408,1457050112563408,1,1457058006329
E2008181810E007519804894,1,1,-169,-50,-5000,2896,1457050112573362,1457050112573362,1,1457058006393
E2008181810E007519804894,1,1,-247,-50,-5000,2844,1457050112576651,1457050112576651,1,1457058006394
E2008181810E007519804894,1,1,-52,-49,-4950,2864,1457050112586901,1457050112586901,1,1457058006395
E2008181810E007519804894,1,1,-52,-50,-5000,2844,1457050112589872,1457050112589872,1,1457058006396
E2008181810E007519804894,1,1,52,-50,-5000,2820,1457050112599981,1457050112599981,1,1457058006397
E2008181810E007519804894,1,1,169,-49,-4950,2832,1457050112603014,1457050112603014,1,1457058006398
E2008181810E007519804894,1,1,26,-50,-5000,2808,1457050112614480,1457050112614480,1,1457058006399
E2008181810E007519804894,1,1,299,-49,-4950,2828,1457050112617247,1457050112617247,1,1457058006400
E2008181810E007519804894,1,1,338,-50,-5000,2776,1457050112628685,1457050112628685,1,1457058006400
E2008181810E007519804894,1,1,143,-50,-5000,2836,1457050112631674,1457050112631674,1,1457058006406
E2008181810E007519804894,1,1,52,-50,-5050,2808,1457050112642181,1457050112642181,1,1457058006407
E2008181810E007519804894,1,1,-26,-50,-5000,2824,1457050112644956,1457050112644956,1,1457058006408
E2008181810E007519804894,1,1,-221,-50,-5050,2828,1457050112656695,1457050112656695,1,1457058006475
E2008181810E007519804894,1,1,52,-50,-5000,2828,1457050112659913,1457050112659913,1,1457058006477
E2008181810E007519804894,1,1,52,-50,-5050,2836,1457050112669871,1457050112669871,1,1457058006478
E2008181810E007519804894,1,1,-52,-50,-5050,2828,1457050112672903,1457050112672903,1,1457058006479
E2008181810E007519804894,1,1,-78,-50,-5000,2860,1457050112683160,1457050112683160,1,1457058006480
E2008181810E007519804894,1,1,117,-50,-5050,2816,1457050112686232,1457050112686232,1,1457058006482
E2008181810E007519804894,1,1,0,-50,-5050,2828,1457050112696582,1457050112696582,1,1457058006483
E2008181810E007519804894,1,1,-221,-50,-5050,2844,1457050112699828,1457050112699828,1,1457058006484
E2008181810E007519804894,1,1,-52,-50,-5000,2868,1457050112710096,1457050112710096,1,1457058006485
E2008181810E007519804894,1,1,-273,-50,-5050,2832,1457050112712863,1457050112712863,1,1457058006490
E2008181810E007519804894,1,1,247,-50,-5000,2864,1457050112723357,1457050112723357,1,1457058006491
E2008181810E007519804894,1,1,-26,-50,-5000,2872,1457050112726118,1457050112726118,1,1457058006492
E2008181810E007519804894,1,1,-52,-50,-5000,2856,1457050112736352,1457050112736352,1,1457058006564
E2008181810E007519804894,1,1,416,-50,-5000,2812,1457050112739469,1457050112739469,1,1457058006565
E2008181810E007519804894,1,1,78,-49,-4950,2816,1457050112749743,1457050112749743,1,1457058006566
E2008181810E007519804894,1,1,273,-50,-5000,2864,1457050112753033,1457050112753033,1,1457058006567
E2008181810E007519804894,1,1,78,-50,-5000,2816,1457050112764685,1457050112764685,1,1457058006568
E2008181810E007519804894,1,1,-26,-50,-5000,2896,1457050112767888,1457050112767888,1,1457058006568
E2008181810E007519804894,1,1,-143,-50,-5000,2836,1457050112777860,1457050112777860,1,1457058006569
E2008181810E007519804894,1,1,-52,-49,-4950,2840,1457050112781159,1457050112781159,1,1457058006571
E2008181810E007519804894,1,1,-52,-50,-5050,2816,1457050112791222,1457050112791222,1,1457058006571
E2008181810E007519804894,1,1,-26,-50,-5050,2828,1457050112794200,1457050112794200,1,1457058006572
E2008181810E007519804894,1,1,143,-50,-5000,2780,1457050112804496,1457050112804496,1,1457058006573
E2008181810E007519804894,1,1,78,-50,-5050,2812,1457050112807758,1457050112807758,1,1457058006574
E2008181810E007519804894,1,1,-195,-50,-5050,2876,1457050112818051,1457050112818051,1,1457058006636
E2008181810E007519804894,1,1,-338,-51,-5100,2872,1457050112820835,1457050112820835,1,1457058006637
E2008181810E007519804894,1,1,-78,-50,-5000,2880,1457050112831350,1457050112831350,1,1457058006638
E2008181810E007519804894,1,1,-52,-50,-5050,2828,1457050112834088,1457050112834088,1,1457058006638
E2008181810E007519804894,1,1,299,-50,-5000,2852,1457050112844288,1457050112844288,1,1457058006639
E2008181810E007519804894,1,1,-611,-50,-5050,2936,1457050112847320,1457050112847320,1,1457058006640
E2008181810E007519804894,1,1,390,-49,-4950,2820,1457050112857774,1457050112857774,1,1457058006641
E2008181810E007519804894,1,1,52,-50,-5000,2872,1457050112860779,1457050112860779,1,1457058006643
E2008181810E007519804894,1,1,26,-49,-4950,2808,1457050112871028,1457050112871028,1,1457058006644
E2008181810E007519804894,1,1,26,-49,-4950,2840,1457050112873763,1457050112873763,1,1457058006645
E2008181810E007519804894,1,1,299,-50,-5000,2784,1457050112884012,1457050112884012,1,1457058006646
E2008181810E007519804894,1,1,143,-50,-5000,2828,1457050112887244,1457050112887244,1,1457058006648
E2008181810E007519804894,1,1,416,-50,-5000,2780,1457050112897513,1457050112897513,1,1457058006716
E2008181810E007519804894,1,1,52,-50,-5050,2816,1457050112900255,1457050112900255,1,1457058006717
E2008181810E007519804894,1,1,117,-50,-5050,2804,1457050112910736,1457050112910736,1,1457058006718
E2008181810E007519804894,1,1,-273,-50,-5050,2864,1457050112913710,1457050112913710,1,1457058006719
E2008181810E007519804894,1,1,0,-51,-5100,2824,1457050112923904,1457050112923904,1,1457058006720
E2008181810E007519804894,1,1,143,-51,-5100,2804,1457050112926867,1457050112926867,1,1457058006722
E2008181810E007519804894,1,1,338,-50,-5000,2868,1457050112937051,1457050112937051,1,1457058006723
E2008181810E007519804894,1,1,533,-50,-5000,2780,1457050112940097,1457050112940097,1,1457058006724
E2008181810E007519804894,1,1,611,-50,-5000,2808,1457050112950230,1457050112950230,1,1457058006724
E2008181810E007519804894,1,1,78,-50,-5000,2864,1457050112953517,1457050112953517,1,1457058006725
E2008181810E007519804894,1,1,78,-50,-5000,2820,1457050112963520,1457050112963520,1,1457058006727
E2008181810E007519804894,1,1,221,-50,-5050,2840,1457050112966785,1457050112966785,1,1457058006728
E2008181810E007519804894,1,1,169,-49,-4950,2796,1457050112976749,1457050112976749,1,1457058006731
E2008181810E007519804894,1,1,52,-50,-5000,2852,1457050112980073,1457050112980073,1,1457058006732
E2008181810E007519804894,1,1,221,-50,-5050,2788,1457050112990139,1457050112990139,1,1457058006805
E2008181810E007519804894,1,1,169,-50,-5000,2832,1457050112993077,1457050112993077,1,1457058006806
E2008181810E007519804894,1,1,-117,-51,-5100,2860,1457050113003279,1457050113003279,1,1457058006807
E2008181810E007519804894,1,1,78,-50,-5000,2820,1457050113006508,1457050113006508,1,1457058006808
E2008181810E007519804894,1,1,169,-50,-5000,2808,1457050113016807,1457050113016807,1,1457058006809
E2008181810E007519804894,1,1,-26,-50,-5000,2800,1457050113019512,1457050113019512,1,1457058006810
E2008181810E007519804894,1,1,247,-50,-5050,2832,1457050113029934,1457050113029934,1,1457058006811
E2008181810E007519804894,1,1,52,-50,-5050,2840,1457050113032717,1457050113032717,1,1457058006812
E2008181810E007519804894,1,1,-26,-50,-5000,2892,1457050113043160,1457050113043160,1,1457058006813
E2008181810E007519804894,1,1,26,-50,-5050,2824,1457050113046177,1457050113046177,1,1457058006822
E2008181810E007519804894,1,1,143,-50,-5000,2860,1457050113056227,1457050113056227,1,1457058006823
E2008181810E007519804894,1,1,247,-50,-5050,2812,1457050113059339,1457050113059339,1,1457058006825
E2008181810E007519804894,1,1,-442,-50,-5000,2884,1457050113069941,1457050113069941,1,1457058006893
E2008181810E007519804894,1,1,-26,-50,-5050,2860,1457050113072706,1457050113072706,1,1457058006894
E2008181810E007519804894,1,1,195,-50,-5000,2808,1457050113082962,1457050113082962,1,1457058006895
E2008181810E007519804894,1,1,-117,-50,-5000,2896,1457050113086218,1457050113086218,1,1457058006895
E2008181810E007519804894,1,1,-26,-50,-5000,2820,1457050113096232,1457050113096232,1,1457058006896
E2008181810E007519804894,1,1,416,-49,-4950,2808,1457050113099562,1457050113099562,1,1457058006898
E2008181810E007519804894,1,1,-195,-50,-5050,2848,1457050113109657,1457050113109657,1,1457058006899
E2008181810E007519804894,1,1,52,-50,-5000,2816,1457050113112666,1457050113112666,1,1457058006900
E2008181810E007519804894,1,1,143,-50,-5050,2808,1457050113123325,1457050113123325,1,1457058006900
E2008181810E007519804894,1,1,117,-50,-5050,2812,1457050113126075,1457050113126075,1,1457058006901
E2008181810E007519804894,1,1,52,-50,-5050,2856,1457050113137385,1457050113137385,1,1457058006902
E2008181810E007519804894,1,1,-195,-50,-5050,2836,1457050113140423,1457050113140423,1,1457058006903
E2008181810E007519804894,1,1,143,-51,-5100,2836,1457050113150685,1457050113150685,1,1457058006974
E2008181810E007519804894,1,1,78,-51,-5100,2812,1457050113153922,1457050113153922,1,1457058006975
E2008181810E007519804894,1,1,442,-50,-5000,2812,1457050113163895,1457050113163895,1,1457058006976
E2008181810E007519804894,1,1,247,-50,-5050,2832,1457050113166928,1457050113166928,1,1457058006977
E2008181810E007519804894,1,1,143,-50,-5000,2876,1457050113177337,1457050113177337,1,1457058006978
E2008181810E007519804894,1,1,78,-50,-5000,2864,1457050113180069,1457050113180069,1,1457058006979
E2008181810E007519804894,1,1,221,-50,-5050,2844,1457050113190563,1457050113190563,1,1457058006980
E2008181810E007519804894,1,1,-195,-50,-5050,2892,1457050113193554,1457050113193554,1,1457058006981
E2008181810E007519804894,1,1,390,-49,-4950,2820,1457050113203803,1457050113203803,1,1457058006982
E2008181810E007519804894,1,1,-143,-50,-5000,2908,1457050113206811,1457050113206811,1,1457058006982
E2008181810E007519804894,1,1,-26,-50,-5050,2820,1457050113217094,1457050113217094,1,1457058006983
E2008181810E007519804894,1,1,533,-50,-5000,2828,1457050113221352,1457050113221352,1,1457058006984
E2008181810E007519804894,1,1,-78,-50,-5050,2848,1457050113231533,1457050113231533,1,1457058006988
E2008181810E007519804894,1,1,-338,-50,-5000,2900,1457050113234780,1457050113234780,1,1457058006989
E2008181810E007519804894,1,1,-195,-51,-5100,2828,1457050113244808,1457050113244808,1,1457058007061
E2008181810E007519804894,1,1,0,-50,-5050,2792,1457050113248040,1457050113248040,1,1457058007062
E2008181810E007519804894,1,1,26,-51,-5100,2840,1457050113258042,1457050113258042,1,1457058007063
E2008181810E007519804894,1,1,143,-51,-5100,2820,1457050113261273,1457050113261273,1,1457058007065
E2008181810E007519804894,1,1,117,-50,-5050,2864,1457050113271522,1457050113271522,1,1457058007066
E2008181810E007519804894,1,1,-221,-50,-5050,2840,1457050113276074,1457050113276074,1,1457058007067
E2008181810E007519804894,1,1,442,-50,-5050,2788,1457050113286129,1457050113286129,1,1457058007068
E2008181810E007519804894,1,1,-299,-51,-5100,2852,1457050113289390,1457050113289390,1,1457058007069
E2008181810E007519804894,1,1,-117,-50,-5050,2896,1457050113299594,1457050113299594,1,1457058007071
E2008181810E007519804894,1,1,273,-50,-5050,2808,1457050113302370,1457050113302370,1,1457058007075
E2008181810E007519804894,1,1,26,-50,-5000,2876,1457050113312504,1457050113312504,1,1457058007076
E2008181810E007519804894,1,1,-143,-50,-5050,2904,1457050113315496,1457050113315496,1,1457058007077
E2008181810E007519804894,1,1,247,-50,-5000,2824,1457050113325895,1457050113325895,1,1457058007151
E2008181810E007519804894,1,1,299,-50,-5050,2848,1457050113328934,1457050113328934,1,1457058007152
E2008181810E007519804894,1,1,468,-50,-5050,2732,1457050113339138,1457050113339138,1,1457058007153
E2008181810E007519804894,1,1,-195,-50,-5050,2904,1457050113341941,1457050113341941,1,1457058007154
E2008181810E007519804894,1,1,169,-50,-5050,2824,1457050113352474,1457050113352474,1,1457058007155
E2008181810E007519804894,1,1,-52,-50,-5050,2856,1457050113355478,1457050113355478,1,1457058007156
E2008181810E007519804894,1,1,-52,-51,-5100,2836,1457050113365377,1457050113365377,1,1457058007157
E2008181810E007519804894,1,1,-78,-50,-5050,2840,1457050113368598,1457050113368598,1,1457058007159
E2008181810E007519804894,1,1,585,-50,-5050,2768,1457050113378864,1457050113378864,1,1457058007160
E2008181810E007519804894,1,1,117,-50,-5050,2808,1457050113383395,1457050113383395,1,1457058007161
E2008181810E007519804894,1,1,52,-51,-5100,2852,1457050113393445,1457050113393445,1,1457058007162
E2008181810E007519804894,1,1,0,-50,-5050,2828,1457050113396649,1457050113396649,1,1457058007163
E2008181810E007519804894,1,1,-52,-50,-5050,2880,1457050113406999,1457050113406999,1,1457058007224
E2008181810E007519804894,1,1,-78,-50,-5050,2872,1457050113409672,1457050113409672,1,1457058007225
E2008181810E007519804894,1,1,-52,-50,-5050,2872,1457050113420189,1457050113420189,1,1457058007226
E2008181810E007519804894,1,1,-26,-50,-5050,2848,1457050113423245,1457050113423245,1,1457058007227
E2008181810E007519804894,1,1,117,-50,-5000,2836,1457050113433506,1457050113433506,1,1457058007228
E2008181810E007519804894,1,1,52,-50,-5050,2848,1457050113436323,1457050113436323,1,1457058007230
E2008181810E007519804894,1,1,195,-50,-5000,2852,1457050113446837,1457050113446837,1,1457058007231
E2008181810E007519804894,1,1,0,-50,-5000,2876,1457050113449835,1457050113449835,1,1457058007232
E2008181810E007519804894,1,1,52,-50,-5000,2816,1457050113460291,1457050113460291,1,1457058007233
E2008181810E007519804894,1,1,611,-50,-5000,2804,1457050113463143,1457050113463143,1,1457058007234
E2008181810E007519804894,1,1,143,-50,-5000,2804,1457050113473457,1457050113473457,1,1457058007236
E2008181810E007519804894,1,1,273,-50,-5000,2820,1457050113476434,1457050113476434,1,1457058007237
E2008181810E007519804894,1,1,-117,-50,-5050,2848,1457050113486734,1457050113486734,1,1457058007307
E2008181810E007519804894,1,1,143,-50,-5000,2824,1457050113489982,1457050113489982,1,1457058007308
E2008181810E007519804894,1,1,52,-50,-5050,2848,1457050113500257,1457050113500257,1,1457058007309
E2008181810E007519804894,1,1,117,-51,-5100,2804,1457050113503261,1457050113503261,1,1457058007310
E2008181810E007519804894,1,1,195,-50,-5050,2820,1457050113513542,1457050113513542,1,1457058007311
E2008181810E007519804894,1,1,-338,-51,-5100,2856,1457050113516261,1457050113516261,1,1457058007311
E2008181810E007519804894,1,1,169,-50,-5050,2868,1457050113526578,1457050113526578,1,1457058007312
E2008181810E007519804894,1,1,-117,-51,-5100,2840,1457050113529844,1457050113529844,1,1457058007313
E2008181810E007519804894,1,1,52,-50,-5050,2880,1457050113540081,1457050113540081,1,1457058007314
E2008181810E007519804894,1,1,-338,-51,-5100,2896,1457050113544844,1457050113544844,1,1457058007315
E2008181810E007519804894,1,1,195,-50,-5050,2888,1457050113555052,1457050113555052,1,1457058007316
E2008181810E007519804894,1,1,390,-51,-5100,2784,1457050113559412,1457050113559412,1,1457058007317
