EPC,AntnenaId,ChannelIndex,Doppler,PeekRssi,PreciseRssi,Phase,FirstReadTime,LastReadTime,ReadCount,Timestamp
E2008325251701650220F46C,1,1,-442,-43,-4350,1684,1456381871178558,1456381871178558,1,1456389820163
E2008325251701650220F46C,1,1,1549,-41,-4150,3384,1456381871191388,1456381871191388,1,1456389820166
E2008325251701650220F46C,1,1,-364,-43,-4350,3236,1456381871194423,1456381871194423,1,1456389820167
E2008325251701650220F46C,1,1,299,-42,-4250,140,1456381871206978,1456381871206978,1,1456389820168
E2008325251701650220F46C,1,1,-859,-42,-4200,3892,1456381871210218,1456381871210218,1,1456389820173
E2008325251701650220F46C,1,1,-468,-45,-4500,1476,1456381871220864,1456381871220864,1,1456389820173
E2008325251701650220F46C,1,1,-1002,-44,-4450,764,1456381871224704,1456381871224704,1,1456389820174
E2008325251701650220F46C,1,1,-338,-43,-4300,3140,1456381871235350,1456381871235350,1,1456389820174
E2008325251701650220F46C,1,1,-78,-46,-4650,2280,1456381871238571,1456381871238571,1,1456389820176
E2008325251701650220F46C,1,1,611,-42,-4200,4048,1456381871248635,1456381871248635,1,1456389820177
E2008325251701650220F46C,1,1,-221,-41,-4150,3308,1456381871253272,1456381871253272,1,1456389820177
E2008325251701650220F46C,1,1,-1445,-43,-4350,1072,1456381871263530,1456381871263530,1,1456389820178
E2008325251701650220F46C,1,1,-494,-43,-4300,452,1456381871266765,1456381871266765,1,1456389820293
E2008325251701650220F46C,1,1,-1302,-45,-4500,2728,1456381871277822,1456381871277822,1,1456389820294
E2008325251701650220F46C,1,1,-78,-42,-4250,3956,1456381871290853,1456381871290853,1,1456389820295
E2008325251701650220F46C,1,1,-130,-41,-4100,3292,1456381871294095,1456381871294095,1,1456389820295
E2008325251701650220F46C,1,1,1718,-43,-4350,348,1456381871306918,1456381871306918,1,1456389820296
E2008325251701650220F46C,1,1,-559,-43,-4300,2780,1456381871317428,1456381871317428,1,1456389820297
E2008325251701650220F46C,1,1,-1718,-47,-4700,2260,1456381871320880,1456381871320880,1,1456389820298
E2008325251701650220F46C,1,1,-1002,-44,-4450,2408,1456381871338690,1456381871338690,1,1456389820298
