EPC,AntnenaId,ChannelIndex,Doppler,PeekRssi,PreciseRssi,Phase,FirstReadTime,LastReadTime,ReadCount,Timestamp
E2008181810E007519804894,1,1,-2278,-59,-5950,1012,1456383015258042,1456383015258042,1,1456390964243
E2008181810E007519804894,1,1,-1393,-62,-6200,3912,1456383015262518,1456383015262518,1,1456390964244
E2008181810E007519804894,1,1,390,-59,-5900,68,1456383015279428,1456383015279428,1,1456390964247
E2008181810E007519804894,1,1,-638,-59,-5950,2108,1456383015290168,1456383015290168,1,1456390964251
E2008181810E007519804894,1,1,-1002,-62,-6200,2456,1456383015307193,1456383015307193,1,1456390964252
E2008181810E007519804894,1,1,638,-59,-5900,1532,1456383015311672,1456383015311672,1,1456390964289
E2008181810E007519804894,1,1,533,-60,-6050,1564,1456383015331477,1456383015331477,1,1456390964294
E2008181810E007519804894,1,1,-195,-61,-6100,1036,1456383015336339,1456383015336339,1,1456390964294
E2008181810E007519804894,1,1,1744,-58,-5850,1360,1456383015351860,1456383015351860,1,1456390964295
E2008181810E007519804894,1,1,-585,-60,-6000,36,1456383015359252,1456383015359252,1,1456390964341
E2008181810E007519804894,1,1,1171,-60,-6050,256,1456383015377949,1456383015377949,1,1456390964342
E2008181810E007519804894,1,1,-1367,-62,-6250,2572,1456383015386469,1456383015386469,1,1456390964343
E2008181810E007519804894,1,1,716,-60,-6000,4072,1456383015398491,1456383015398491,1,1456390964344
E2008181810E007519804894,1,1,-169,-62,-6250,2920,1456383015404808,1456383015404808,1,1456390964394
E2008181810E007519804894,1,1,-52,-59,-5900,1636,1456383015430441,1456383015430441,1,1456390964395
E2008181810E007519804894,1,1,-781,-61,-6100,2756,1456383015445645,1456383015445645,1,1456390964396
E2008181810E007519804894,1,1,169,-58,-5850,1280,1456383015453571,1456383015453571,1,1456390964396
E2008181810E007519804894,1,1,1197,-58,-5850,1192,1456383015472441,1456383015472441,1,1456390964438
E2008181810E007519804894,1,1,-885,-60,-6000,136,1456383015478196,1456383015478196,1,1456390964439
E2008181810E007519804894,1,1,585,-58,-5800,1312,1456383015492301,1456383015492301,1,1456390964439
E2008181810E007519804894,1,1,638,-59,-5950,60,1456383015498705,1456383015498705,1,1456390964441
E2008181810E007519804894,1,1,-52,-58,-5800,1408,1456383015511405,1456383015511405,1,1456390964491
E2008181810E007519804894,1,1,273,-61,-6150,3016,1456383015523040,1456383015523040,1,1456390964498
E2008181810E007519804894,1,1,-273,-60,-6000,688,1456383015535906,1456383015535906,1,1456390964500
E2008181810E007519804894,1,1,-1666,-62,-6200,2408,1456383015546005,1456383015546005,1,1456390964504
E2008181810E007519804894,1,1,-273,-60,-6050,388,1456383015556369,1456383015556369,1,1456390964532
E2008181810E007519804894,1,1,-2252,-61,-6100,2180,1456383015568317,1456383015568317,1,1456390964534
E2008181810E007519804894,1,1,-390,-62,-6200,2208,1456383015585786,1456383015585786,1,1456390964535
E2008181810E007519804894,1,1,-494,-57,-5750,1612,1456383015590006,1456383015590006,1,1456390964536
E2008181810E007519804894,1,1,755,-60,-6000,3176,1456383015601431,1456383015601431,1,1456390964588
E2008181810E007519804894,1,1,-221,-59,-5900,1388,1456383015611023,1456383015611023,1,1456390964590
